No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
204,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1445.35B,34.91,2129.78,3.26%,"1,957,485"
205,GPC,Genuine Parts Company,Consumer Cyclical,Specialty Retail,USA,16.62B,103.94,116.62,0.89%,"510,359"
206,GPN,Global Payments Inc.,Industrials,Specialty Business Services,USA,60.17B,106.93,207.97,3.17%,"1,065,088"
207,GPS,"The Gap, Inc.",Consumer Cyclical,Apparel Retail,USA,10.93B,-,29.95,0.57%,"6,410,600"
208,GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,Switzerland,25.22B,25.64,132.51,0.50%,"637,662"
209,GS,"The Goldman Sachs Group, Inc.",Financial,Capital Markets,USA,113.43B,13.25,327.64,0.20%,"2,592,841"
210,GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,USA,21.17B,31.41,406.35,1.35%,"258,885"
211,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,18.95B,-,21.92,2.14%,"7,387,515"
212,HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,USA,13.09B,59.14,95.46,-0.69%,"872,054"
213,HBAN,Huntington Bancshares Incorporated,Financial,Banks - Regional,USA,16.08B,23.03,15.98,1.65%,"8,486,019"
214,HBI,Hanesbrands Inc.,Consumer Cyclical,Apparel Manufacturing,USA,6.60B,-,19.37,-1.53%,"7,029,698"
215,HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,USA,61.50B,17.04,186.15,-1.16%,"1,390,654"
216,HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,USA,324.23B,25.77,307.75,0.82%,"3,905,562"
217,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,21.80B,-,74.48,5.26%,"1,895,858"
218,HFC,HollyFrontier Corporation,Energy,Oil & Gas Refining & Marketing,USA,6.13B,-,38.02,6.26%,"2,843,981"
219,HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified,USA,24.94B,14.40,68.28,2.23%,"3,090,341"
220,HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,USA,8.11B,11.93,204.23,-0.79%,"246,804"
301,MDT,Medtronic plc,Healthcare,Medical Devices,Ireland,156.67B,55.93,118.19,0.05%,"6,016,490"
302,MET,"MetLife, Inc.",Financial,Insurance - Life,USA,53.78B,10.90,61.60,1.33%,"3,390,248"
303,MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,19.79B,-,39.70,4.50%,"8,290,471"
304,MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,13.69B,27.52,198.28,3.10%,"486,548"
305,MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,USA,23.42B,32.12,89.24,0.09%,"1,806,665"
306,MKTX,MarketAxess Holdings Inc.,Financial,Capital Markets,USA,19.00B,66.29,520.28,4.49%,"241,573"
307,MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,USA,20.31B,28.91,333.88,-0.58%,"728,513"
308,MMC,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,USA,61.77B,31.25,123.15,1.11%,"1,781,390"
309,MMM,3M Company,Industrials,Specialty Industrial Machinery,USA,110.63B,20.84,192.70,0.01%,"1,860,175"
310,MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,USA,46.75B,34.65,91.36,0.30%,"1,751,539"
311,MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,USA,90.62B,21.14,51.00,-0.31%,"8,082,956"
312,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,USA,11.71B,19.03,31.26,-1.11%,"4,895,166"
313,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,35.63B,-,55.80,4.32%,"5,484,905"
314,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,USA,191.74B,27.74,77.09,0.00%,"8,292,718"
315,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,8.83B,-,11.79,10.39%,"52,561,664"
316,MS,Morgan Stanley,Financial,Capital Markets,USA,147.36B,12.15,78.22,0.72%,"13,015,602"
317,MSCI,MSCI Inc.,Financial,Financial Data & Stock Exchanges,USA,34.39B,60.81,428.55,2.21%,"403,438"
318,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,1795.85B,36.10,242.35,2.79%,"29,870,492"
319,MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,USA,30.91B,34.54,188.36,0.16%,"581,834"
320,MTB,M&T Bank Corporation,Financial,Banks - Regional,USA,19.38B,15.38,153.17,1.03%,"983,693"
321,MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,USA,26.32B,47.10,1175.19,1.69%,"74,137"
322,MU,"Micron Technology, Inc.",Technology,Semiconductors,USA,98.79B,34.87,92.41,4.76%,"39,184,081"
323,MXIM,"Maxim Integrated Products, Inc.",Technology,Semiconductors,USA,24.29B,35.70,95.45,4.47%,"2,406,366"
324,NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,USA,9.91B,-,27.72,0.47%,"10,139,062"
325,NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges,USA,24.18B,26.99,150.85,2.30%,"643,524"
326,NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,USA,147.28B,49.59,75.77,0.21%,"6,242,716"
327,NEM,Newmont Corporation,Basic Materials,Gold,USA,48.16B,18.70,61.81,2.56%,"6,448,716"
328,NFLX,"Netflix, Inc.",Communication Services,Entertainment,USA,236.47B,91.60,539.42,3.40%,"3,901,090"
329,NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,9.65B,-,24.07,-0.17%,"2,009,056"
330,NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,USA,202.10B,62.57,132.53,-0.27%,"5,615,131"
331,NLOK,NortonLifeLock Inc.,Technology,Software - Infrastructure,USA,12.14B,20.56,21.42,0.75%,"3,114,917"
