No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
443,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,USA,635.18B,1063.91,661.75,-0.93%,"35,078,152"
444,TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,USA,27.08B,13.79,74.87,0.77%,"1,925,635"
445,TT,Trane Technologies plc,Industrials,Specialty Industrial Machinery,Ireland,38.47B,41.17,165.44,-0.07%,"958,507"
446,TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,20.21B,42.17,180.15,1.95%,"1,187,839"
447,TWTR,"Twitter, Inc.",Communication Services,Internet Content & Information,USA,50.90B,-,63.83,0.31%,"15,215,820"
448,TXN,Texas Instruments Incorporated,Technology,Semiconductors,USA,168.13B,32.17,192.06,1.62%,"4,558,109"
449,TXT,Textron Inc.,Industrials,Aerospace & Defense,USA,12.82B,42.37,57.03,1.69%,"926,869"
450,TYL,"Tyler Technologies, Inc.",Technology,Software - Application,USA,17.20B,91.86,431.82,1.72%,"242,769"
451,UA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,8.25B,-,18.27,-1.03%,"2,760,855"
452,UAA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,9.09B,-,21.97,-0.86%,"4,349,995"
453,UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,USA,18.16B,-,57.82,0.49%,"10,888,571"
454,UDR,"UDR, Inc.",Real Estate,REIT - Residential,USA,13.03B,218.52,44.36,1.14%,"2,440,132"
455,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,USA,11.47B,12.21,134.40,0.76%,"385,992"
456,ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,USA,17.88B,101.20,313.62,1.44%,"692,578"
457,UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,USA,342.03B,22.90,367.07,-1.34%,"2,966,345"
458,UNM,Unum Group,Financial,Insurance - Life,USA,5.59B,7.23,28.14,1.11%,"2,269,528"
459,UNP,Union Pacific Corporation,Industrials,Railroads,USA,142.98B,27.96,220.21,-0.09%,"2,477,796"
460,UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,USA,144.32B,111.08,171.28,0.76%,"3,548,009"
461,URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,USA,22.85B,27.15,331.71,0.73%,"771,215"
462,USB,U.S. Bancorp,Financial,Banks - Regional,USA,81.92B,18.24,55.83,0.94%,"6,095,906"
463,V,Visa Inc.,Financial,Credit Services,USA,451.42B,49.89,216.86,2.42%,"6,133,189"
464,VAR,"Varian Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,16.24B,57.33,176.80,0.15%,"721,682"
465,VFC,V.F. Corporation,Consumer Cyclical,Apparel Manufacturing,USA,30.32B,-,79.49,-0.54%,"2,036,849"
466,VIAC,ViacomCBS Inc.,Communication Services,Entertainment,USA,38.06B,11.97,44.64,-1.02%,"58,445,565"
467,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,USA,30.49B,-,75.30,5.17%,"3,775,497"
468,VMC,Vulcan Materials Company,Basic Materials,Building Materials,USA,21.44B,37.70,166.39,-1.40%,"1,301,532"
469,VNO,Vornado Realty Trust,Real Estate,REIT - Office,USA,8.69B,-,46.39,2.20%,"1,205,371"
470,VNT,Vontier Corporation,Technology,Scientific & Technical Instruments,USA,5.21B,15.45,31.08,2.68%,"1,380,811"
471,VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,USA,28.64B,41.71,179.81,1.77%,"668,365"
472,VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,USA,22.11B,28.64,201.90,1.58%,"541,128"
473,VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,USA,54.79B,20.68,213.04,-0.86%,"2,049,739"
474,VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,USA,19.90B,46.78,54.40,1.99%,"2,543,168"
475,VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,16.38B,-,13.90,-0.50%,"7,043,957"
476,VZ,Verizon Communications Inc.,Communication Services,Telecom Services,USA,237.94B,13.56,58.30,0.26%,"12,871,434"
477,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,USA,14.80B,36.40,78.99,-0.21%,"1,071,565"
478,WAT,Waters Corporation,Healthcare,Diagnostics & Research,USA,17.19B,34.07,284.72,0.19%,"269,222"
479,WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,USA,47.02B,-,54.75,-0.27%,"8,602,181"
480,WDC,Western Digital Corporation,Technology,Computer Hardware,USA,20.80B,128.13,71.37,6.92%,"7,113,698"
481,WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,USA,29.49B,24.62,93.32,-0.29%,"940,079"
482,WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,USA,29.64B,-,73.25,2.26%,"2,176,716"
483,WFC,Wells Fargo & Company,Financial,Banks - Diversified,USA,161.94B,99.32,39.63,1.43%,"22,203,786"
484,WHR,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,13.70B,13.25,225.30,2.25%,"714,253"
485,WLTW,Willis Towers Watson Public Limited Company,Financial,Insurance Brokers,United Kingdom,29.49B,28.73,233.59,2.06%,"678,031"
486,WM,"Waste Management, Inc.",Industrials,Waste Management,USA,53.71B,36.83,129.28,0.20%,"1,280,755"
487,WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,USA,28.30B,140.59,23.90,0.89%,"6,352,268"
488,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,USA,378.88B,28.63,135.62,-0.15%,"8,449,038"
489,WRB,W. R. Berkley Corporation,Financial,Insurance - Property & Casualty,USA,13.47B,26.95,76.49,1.51%,"777,073"
490,WRK,WestRock Company,Consumer Cyclical,Packaging & Containers,USA,13.31B,-,52.19,0.27%,"1,058,448"
491,WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,USA,20.67B,62.37,284.77,1.06%,"393,819"
