SYMBOL,CUSIP,CLOSE,MARKET,SECURITYTYPE,UNDERLYINGINSTRUMENT
NVDA,67066G104,149.51893,NSDQ,Stock,
AMD,007903107,62.382,NSDQ,Stock,
